Movies,Boxoffice,IMDB_Votes,IMDB_Rate
Ace Ventura: Pet Detective_(J),72217396,266738,6.9
The Mask_(J),119938730,330309,6.9
Dumb and Dumber_(J),127175374,341844,7.3
Batman Forever_(J),184069126,228161,5.4
Ace Ventura: When Nature Calls_(J),108385533,195849,6.4
The Cable Guy_(J),60240295,146799,6.1
Liar Liar_(J),181410615,271238,6.9
The Truman Show_(J),125618201,886056,8.1
Simon Birch_(J),18253415,20141,6.9
Man on the moon_(J),34607430,120528,7.4
How the Grinch Stole Christmas_(J),260044825,195420,6.2
The Majestic_(J),27807266,51061,6.9
Bruce Almight_(J),242829261,359675,6.7
Eternal Sunshine of the Spotless Mind_(J),34400301,869134,8.3
Lemony Snicket's a series of Unfortunate Events_(J),118634549,190406,6.8
Fun with Dick and Jane_(J),110332737,129665,6.2
The Number 23_(J),35193167,188982,6.4
Horton Hears a Who!_(J),154529439,125613,6.8
Yes Man_(J),97690976,323834,6.8
I Love you Phillip Morris_(J),2037459,89465,6.6
A Christmas Carol_(J),137855863,97061,6.8
Mr. Popper's Penguins_(J),68224452,84381,6
The Incredible Burt Wonderstone_(J),22537881,69312,5.9
Kick-Ass 2_(J),28795985,247828,6.5
Dumb and Dumber To_(J),86208010,124202,5.6
Sonic the Hedgehog_(J),146066470,50878,6.6
